Id,SepalLengthCm,ScaledSepalLengthCm,SepalWidthCm,ScaledSepalWidthCm,PetalLengthCm,ScaledPetalLengthCm,PetalWidthCm,Species
1,5.1,0.64556962,3.5,0.795454545,1.4,0.202898551,0.2,Iris-setosa
2,4.9,0.620253165,3,0.681818182,1.4,0.202898551,0.2,Iris-setosa
3,4.7,0.594936709,3.2,0.727272727,1.3,0.188405797,0.2,Iris-setosa
4,4.6,0.582278481,3.1,0.704545455,1.5,0.217391304,0.2,Iris-setosa
5,5,0.632911392,3.6,0.818181818,1.4,0.202898551,0.2,Iris-setosa
6,5.4,0.683544304,3.9,0.886363636,1.7,0.246376812,0.4,Iris-setosa
7,4.6,0.582278481,3.4,0.772727273,1.4,0.202898551,0.3,Iris-setosa
8,5,0.632911392,3.4,0.772727273,1.5,0.217391304,0.2,Iris-setosa
9,4.4,0.556962025,2.9,0.659090909,1.4,0.202898551,0.2,Iris-setosa
10,4.9,0.620253165,3.1,0.704545455,1.5,0.217391304,0.1,Iris-setosa
11,5.4,0.683544304,3.7,0.840909091,1.5,0.217391304,0.2,Iris-setosa
12,4.8,0.607594937,3.4,0.772727273,1.6,0.231884058,0.2,Iris-setosa
13,4.8,0.607594937,3,0.681818182,1.4,0.202898551,0.1,Iris-setosa
14,4.3,0.544303797,3,0.681818182,1.1,0.15942029,0.1,Iris-setosa
15,5.8,0.734177215,4,0.909090909,1.2,0.173913043,0.2,Iris-setosa
16,5.7,0.721518987,4.4,1,1.5,0.217391304,0.4,Iris-setosa
17,5.4,0.683544304,3.9,0.886363636,1.3,0.188405797,0.4,Iris-setosa
18,5.1,0.64556962,3.5,0.795454545,1.4,0.202898551,0.3,Iris-setosa
19,5.7,0.721518987,3.8,0.863636364,1.7,0.246376812,0.3,Iris-setosa
20,5.1,0.64556962,3.8,0.863636364,1.5,0.217391304,0.3,Iris-setosa
21,5.4,0.683544304,3.4,0.772727273,1.7,0.246376812,0.2,Iris-setosa
22,5.1,0.64556962,3.7,0.840909091,1.5,0.217391304,0.4,Iris-setosa
23,4.6,0.582278481,3.6,0.818181818,1,0.144927536,0.2,Iris-setosa
24,5.1,0.64556962,3.3,0.75,1.7,0.246376812,0.5,Iris-setosa
25,4.8,0.607594937,3.4,0.772727273,1.9,0.275362319,0.2,Iris-setosa
26,5,0.632911392,3,0.681818182,1.6,0.231884058,0.2,Iris-setosa
27,5,0.632911392,3.4,0.772727273,1.6,0.231884058,0.4,Iris-setosa
28,5.2,0.658227848,3.5,0.795454545,1.5,0.217391304,0.2,Iris-setosa
29,5.2,0.658227848,3.4,0.772727273,1.4,0.202898551,0.2,Iris-setosa
30,4.7,0.594936709,3.2,0.727272727,1.6,0.231884058,0.2,Iris-setosa
31,4.8,0.607594937,3.1,0.704545455,1.6,0.231884058,0.2,Iris-setosa
32,5.4,0.683544304,3.4,0.772727273,1.5,0.217391304,0.4,Iris-setosa
33,5.2,0.658227848,4.1,0.931818182,1.5,0.217391304,0.1,Iris-setosa
34,5.5,0.696202532,4.2,0.954545455,1.4,0.202898551,0.2,Iris-setosa
35,4.9,0.620253165,3.1,0.704545455,1.5,0.217391304,0.1,Iris-setosa
36,5,0.632911392,3.2,0.727272727,1.2,0.173913043,0.2,Iris-setosa
37,5.5,0.696202532,3.5,0.795454545,1.3,0.188405797,0.2,Iris-setosa
38,4.9,0.620253165,3.1,0.704545455,1.5,0.217391304,0.1,Iris-setosa
39,4.4,0.556962025,3,0.681818182,1.3,0.188405797,0.2,Iris-setosa
40,5.1,0.64556962,3.4,0.772727273,1.5,0.217391304,0.2,Iris-setosa
41,5,0.632911392,3.5,0.795454545,1.3,0.188405797,0.3,Iris-setosa
42,4.5,0.569620253,2.3,0.522727273,1.3,0.188405797,0.3,Iris-setosa
43,4.4,0.556962025,3.2,0.727272727,1.3,0.188405797,0.2,Iris-setosa
44,5,0.632911392,3.5,0.795454545,1.6,0.231884058,0.6,Iris-setosa
45,5.1,0.64556962,3.8,0.863636364,1.9,0.275362319,0.4,Iris-setosa
46,4.8,0.607594937,3,0.681818182,1.4,0.202898551,0.3,Iris-setosa
47,5.1,0.64556962,3.8,0.863636364,1.6,0.231884058,0.2,Iris-setosa
48,4.6,0.582278481,3.2,0.727272727,1.4,0.202898551,0.2,Iris-setosa
49,5.3,0.670886076,3.7,0.840909091,1.5,0.217391304,0.2,Iris-setosa
50,5,0.632911392,3.3,0.75,1.4,0.202898551,0.2,Iris-setosa
51,7,0.886075949,3.2,0.727272727,4.7,0.68115942,1.4,Iris-versicolor
52,6.4,0.810126582,3.2,0.727272727,4.5,0.652173913,1.5,Iris-versicolor
53,6.9,0.873417722,3.1,0.704545455,4.9,0.710144928,1.5,Iris-versicolor
54,5.5,0.696202532,2.3,0.522727273,4,0.579710145,1.3,Iris-versicolor
55,6.5,0.82278481,2.8,0.636363636,4.6,0.666666667,1.5,Iris-versicolor
56,5.7,0.721518987,2.8,0.636363636,4.5,0.652173913,1.3,Iris-versicolor
57,6.3,0.797468354,3.3,0.75,4.7,0.68115942,1.6,Iris-versicolor
58,4.9,0.620253165,2.4,0.545454545,3.3,0.47826087,1,Iris-versicolor
59,6.6,0.835443038,2.9,0.659090909,4.6,0.666666667,1.3,Iris-versicolor
60,5.2,0.658227848,2.7,0.613636364,3.9,0.565217391,1.4,Iris-versicolor
61,5,0.632911392,2,0.454545455,3.5,0.507246377,1,Iris-versicolor
62,5.9,0.746835443,3,0.681818182,4.2,0.608695652,1.5,Iris-versicolor
63,6,0.759493671,2.2,0.5,4,0.579710145,1,Iris-versicolor
64,6.1,0.772151899,2.9,0.659090909,4.7,0.68115942,1.4,Iris-versicolor
65,5.6,0.708860759,2.9,0.659090909,3.6,0.52173913,1.3,Iris-versicolor
66,6.7,0.848101266,3.1,0.704545455,4.4,0.637681159,1.4,Iris-versicolor
67,5.6,0.708860759,3,0.681818182,4.5,0.652173913,1.5,Iris-versicolor
68,5.8,0.734177215,2.7,0.613636364,4.1,0.594202899,1,Iris-versicolor
69,6.2,0.784810127,2.2,0.5,4.5,0.652173913,1.5,Iris-versicolor
70,5.6,0.708860759,2.5,0.568181818,3.9,0.565217391,1.1,Iris-versicolor
71,5.9,0.746835443,3.2,0.727272727,4.8,0.695652174,1.8,Iris-versicolor
72,6.1,0.772151899,2.8,0.636363636,4,0.579710145,1.3,Iris-versicolor
73,6.3,0.797468354,2.5,0.568181818,4.9,0.710144928,1.5,Iris-versicolor
74,6.1,0.772151899,2.8,0.636363636,4.7,0.68115942,1.2,Iris-versicolor
75,6.4,0.810126582,2.9,0.659090909,4.3,0.623188406,1.3,Iris-versicolor
76,6.6,0.835443038,3,0.681818182,4.4,0.637681159,1.4,Iris-versicolor
77,6.8,0.860759494,2.8,0.636363636,4.8,0.695652174,1.4,Iris-versicolor
78,6.7,0.848101266,3,0.681818182,5,0.724637681,1.7,Iris-versicolor
79,6,0.759493671,2.9,0.659090909,4.5,0.652173913,1.5,Iris-versicolor
80,5.7,0.721518987,2.6,0.590909091,3.5,0.507246377,1,Iris-versicolor
81,5.5,0.696202532,2.4,0.545454545,3.8,0.550724638,1.1,Iris-versicolor
82,5.5,0.696202532,2.4,0.545454545,3.7,0.536231884,1,Iris-versicolor
83,5.8,0.734177215,2.7,0.613636364,3.9,0.565217391,1.2,Iris-versicolor
84,6,0.759493671,2.7,0.613636364,5.1,0.739130435,1.6,Iris-versicolor
85,5.4,0.683544304,3,0.681818182,4.5,0.652173913,1.5,Iris-versicolor
86,6,0.759493671,3.4,0.772727273,4.5,0.652173913,1.6,Iris-versicolor
87,6.7,0.848101266,3.1,0.704545455,4.7,0.68115942,1.5,Iris-versicolor
88,6.3,0.797468354,2.3,0.522727273,4.4,0.637681159,1.3,Iris-versicolor
89,5.6,0.708860759,3,0.681818182,4.1,0.594202899,1.3,Iris-versicolor
90,5.5,0.696202532,2.5,0.568181818,4,0.579710145,1.3,Iris-versicolor
91,5.5,0.696202532,2.6,0.590909091,4.4,0.637681159,1.2,Iris-versicolor
92,6.1,0.772151899,3,0.681818182,4.6,0.666666667,1.4,Iris-versicolor
93,5.8,0.734177215,2.6,0.590909091,4,0.579710145,1.2,Iris-versicolor
94,5,0.632911392,2.3,0.522727273,3.3,0.47826087,1,Iris-versicolor
95,5.6,0.708860759,2.7,0.613636364,4.2,0.608695652,1.3,Iris-versicolor
96,5.7,0.721518987,3,0.681818182,4.2,0.608695652,1.2,Iris-versicolor
97,5.7,0.721518987,2.9,0.659090909,4.2,0.608695652,1.3,Iris-versicolor
98,6.2,0.784810127,2.9,0.659090909,4.3,0.623188406,1.3,Iris-versicolor
99,5.1,0.64556962,2.5,0.568181818,3,0.434782609,1.1,Iris-versicolor
100,5.7,0.721518987,2.8,0.636363636,4.1,0.594202899,1.3,Iris-versicolor
101,6.3,0.797468354,3.3,0.75,6,0.869565217,2.5,Iris-virginica
102,5.8,0.734177215,2.7,0.613636364,5.1,0.739130435,1.9,Iris-virginica
103,7.1,0.898734177,3,0.681818182,5.9,0.855072464,2.1,Iris-virginica
104,6.3,0.797468354,2.9,0.659090909,5.6,0.811594203,1.8,Iris-virginica
105,6.5,0.82278481,3,0.681818182,5.8,0.84057971,2.2,Iris-virginica
106,7.6,0.962025316,3,0.681818182,6.6,0.956521739,2.1,Iris-virginica
107,4.9,0.620253165,2.5,0.568181818,4.5,0.652173913,1.7,Iris-virginica
108,7.3,0.924050633,2.9,0.659090909,6.3,0.913043478,1.8,Iris-virginica
109,6.7,0.848101266,2.5,0.568181818,5.8,0.84057971,1.8,Iris-virginica
110,7.2,0.911392405,3.6,0.818181818,6.1,0.884057971,2.5,Iris-virginica
111,6.5,0.82278481,3.2,0.727272727,5.1,0.739130435,2,Iris-virginica
112,6.4,0.810126582,2.7,0.613636364,5.3,0.768115942,1.9,Iris-virginica
113,6.8,0.860759494,3,0.681818182,5.5,0.797101449,2.1,Iris-virginica
114,5.7,0.721518987,2.5,0.568181818,5,0.724637681,2,Iris-virginica
115,5.8,0.734177215,2.8,0.636363636,5.1,0.739130435,2.4,Iris-virginica
116,6.4,0.810126582,3.2,0.727272727,5.3,0.768115942,2.3,Iris-virginica
117,6.5,0.82278481,3,0.681818182,5.5,0.797101449,1.8,Iris-virginica
118,7.7,0.974683544,3.8,0.863636364,6.7,0.971014493,2.2,Iris-virginica
119,7.7,0.974683544,2.6,0.590909091,6.9,1,2.3,Iris-virginica
120,6,0.759493671,2.2,0.5,5,0.724637681,1.5,Iris-virginica
121,6.9,0.873417722,3.2,0.727272727,5.7,0.826086957,2.3,Iris-virginica
122,5.6,0.708860759,2.8,0.636363636,4.9,0.710144928,2,Iris-virginica
123,7.7,0.974683544,2.8,0.636363636,6.7,0.971014493,2,Iris-virginica
124,6.3,0.797468354,2.7,0.613636364,4.9,0.710144928,1.8,Iris-virginica
125,6.7,0.848101266,3.3,0.75,5.7,0.826086957,2.1,Iris-virginica
126,7.2,0.911392405,3.2,0.727272727,6,0.869565217,1.8,Iris-virginica
127,6.2,0.784810127,2.8,0.636363636,4.8,0.695652174,1.8,Iris-virginica
128,6.1,0.772151899,3,0.681818182,4.9,0.710144928,1.8,Iris-virginica
129,6.4,0.810126582,2.8,0.636363636,5.6,0.811594203,2.1,Iris-virginica
130,7.2,0.911392405,3,0.681818182,5.8,0.84057971,1.6,Iris-virginica
131,7.4,0.936708861,2.8,0.636363636,6.1,0.884057971,1.9,Iris-virginica
132,7.9,1,3.8,0.863636364,6.4,0.927536232,2,Iris-virginica
133,6.4,0.810126582,2.8,0.636363636,5.6,0.811594203,2.2,Iris-virginica
134,6.3,0.797468354,2.8,0.636363636,5.1,0.739130435,1.5,Iris-virginica
135,6.1,0.772151899,2.6,0.590909091,5.6,0.811594203,1.4,Iris-virginica
136,7.7,0.974683544,3,0.681818182,6.1,0.884057971,2.3,Iris-virginica
137,6.3,0.797468354,3.4,0.772727273,5.6,0.811594203,2.4,Iris-virginica
138,6.4,0.810126582,3.1,0.704545455,5.5,0.797101449,1.8,Iris-virginica
139,6,0.759493671,3,0.681818182,4.8,0.695652174,1.8,Iris-virginica
140,6.9,0.873417722,3.1,0.704545455,5.4,0.782608696,2.1,Iris-virginica
141,6.7,0.848101266,3.1,0.704545455,5.6,0.811594203,2.4,Iris-virginica
142,6.9,0.873417722,3.1,0.704545455,5.1,0.739130435,2.3,Iris-virginica
143,5.8,0.734177215,2.7,0.613636364,5.1,0.739130435,1.9,Iris-virginica
144,6.8,0.860759494,3.2,0.727272727,5.9,0.855072464,2.3,Iris-virginica
145,6.7,0.848101266,3.3,0.75,5.7,0.826086957,2.5,Iris-virginica
146,6.7,0.848101266,3,0.681818182,5.2,0.753623188,2.3,Iris-virginica
147,6.3,0.797468354,2.5,0.568181818,5,0.724637681,1.9,Iris-virginica
148,6.5,0.82278481,3,0.681818182,5.2,0.753623188,2,Iris-virginica
149,6.2,0.784810127,3.4,0.772727273,5.4,0.782608696,2.3,Iris-virginica
150,5.9,0.746835443,3,0.681818182,5.1,0.739130435,1.8,Iris-virginica
